File,Start,End,Center1,Center2,group,steady_start,steady_end,f0,f1,f2,f3,f4
m01ae,177.3,500.4,304.0,297.0,men,247.2,353.8,166.38238068148115,660.1286010862758,1972.3957305286501,2321.0212183081526,2717.3208255924496
m02ae,132.0,382.0,198.0,240.0,men,177.8,260.2,100.72959633535002,640.9053469994925,1802.3780840629206,2419.0586928428606,3396.162064961697
m03ae,118.0,462.0,162.0,181.0,men,118.0,228.3,95.40931466595285,609.9361775648982,1780.819994007253,2560.580271216249,3538.3514866799082
m04ae,96.0,408.0,130.0,169.0,men,98.0,201.0,125.55504627391178,630.5511058699653,1925.831367974869,2444.2755353417488,3389.7004862855993
m06ae,71.0,325.0,113.0,134.0,men,81.6,165.4,117.96073266399407,654.6014321459369,1846.1400903849365,2554.3451629196466,3607.8733565149837
m07ae,70.0,324.0,140.0,138.0,men,97.1,180.9,95.47874085302855,593.915817042922,1974.129826756917,2603.557104675609,3871.4394235447585
m08ae,95.0,384.0,128.0,141.0,men,95.0,182.2,125.26173820058828,608.1911238766269,1850.1556595451407,2484.7804497933716,3633.4121382807734
m09ae,107.0,446.0,166.0,206.0,men,130.1,241.9,157.3531269215842,562.3932401818488,1863.3089879899762,2652.207688607987,3507.384252411106
m10ae,90.0,372.0,132.0,155.0,men,97.0,190.0,154.13347078041554,547.1996307037365,1991.5510813597327,2637.7611366560036,3075.4092623870615
m11ae,123.0,442.0,180.0,173.0,men,123.9,229.1,136.12536647416258,664.1913740251373,1870.7832651030274,2574.4153297070425,3659.7720225913104
m13ae,90.0,369.0,179.0,160.0,men,123.5,215.5,100.91215598798037,689.1716229976083,1791.5421098940933,2553.385478614739,3197.280357607235
m14ae,65.0,337.0,144.0,137.0,men,95.6,185.4,106.95085649620864,562.7638649644716,1979.5092385558762,2577.1189140050087,3824.044715336236
m16ae,70.0,282.0,120.0,159.0,men,104.5,174.5,138.39797870496017,547.5952355179978,1785.5197539418932,2457.1684962295467,2947.136801181183
m17ae,101.0,358.0,164.0,168.0,men,123.6,208.4,137.28398746368697,685.4404981161102,1538.3668268615354,2235.750730043872,3940.0746059114326
m18ae,83.0,347.0,134.0,128.0,men,87.4,174.6,133.7683975849208,528.7413635369829,1913.6045824976386,2392.94553642496,3221.71311884993
m19ae,133.0,377.0,192.0,163.0,men,137.2,217.8,150.3323954146633,601.6889278457493,1916.7412507090876,2633.473713201445,3585.9009025296855
m20ae,92.0,378.0,152.0,168.0,men,112.8,207.2,138.0270231684241,549.3506192238215,1820.3124853159502,2108.6913249844206,3027.922322330573
m21ae,102.0,354.0,170.0,176.0,men,131.4,214.6,108.2705974686182,556.4472532890742,1829.3966499048277,2558.4807168911234,3449.791010737999
m22ae,173.0,422.0,222.0,240.0,men,189.9,272.1,119.26577904607007,631.3551310761779,2003.650257204547,2683.9122038991745,3445.3239331114905
m23ae,135.0,409.0,193.0,216.0,men,159.3,249.7,111.7457603611487,589.1552391784998,2004.5142297604903,2576.7870407987875,3166.6356598529283
m24ae,83.0,353.0,110.0,117.0,men,83.0,158.0,119.19597766815002,601.2951867283919,1565.0425199094473,2248.5013668962015,3141.396750827603
m25ae,101.0,402.0,214.0,222.0,men,168.3,267.7,113.41604612394306,546.6574709916001,1802.0556281845807,2555.446053616296,3092.38348866808
m26ae,70.0,329.0,152.0,139.0,men,102.8,188.2,118.37614523805317,561.8549604785741,1886.4266875274188,2561.020168533422,3022.0189023118205
m27ae,101.0,358.0,162.0,163.0,men,120.1,204.9,104.62651957015906,599.5543257863858,1975.9320619494995,2500.370024511928,3332.8721151082846
m28ae,122.0,334.0,147.0,177.0,men,127.0,197.0,130.5942411716872,662.2089884325412,1928.9737439609364,2672.400641181735,3606.925513246929
m29ae,96.0,337.0,175.0,184.0,men,139.7,219.3,115.15743558962771,579.6862687280118,2012.7472144714984,2311.373773797185,2645.3631072129624
m30ae,105.0,407.0,181.0,158.0,men,119.7,219.3,96.23449117668265,569.4214971298152,1827.9045387590245,2514.370377853558,3478.0410447357945
m31ae,121.0,329.0,135.0,157.0,men,121.0,180.3,143.72839534950182,605.2777237903264,1949.3957791771063,2621.021568607975,3783.314672778648
m32ae,71.0,279.0,102.0,98.0,men,71.0,134.3,147.71181458640467,628.0862562717465,1932.5604518258438,2562.6542969582747,4120.759529445271
m33ae,70.0,398.0,149.0,109.0,men,74.9,183.1,136.18455641980893,559.7308771338845,1952.204892182935,2644.0187881568654,3724.964083964507
m34ae,93.0,360.0,141.0,120.0,men,93.0,174.6,128.61648483945532,543.1672576034593,1814.6689554809323,2499.016416264547,3578.288345128259
m35ae,96.0,422.0,168.0,137.0,men,98.7,206.3,112.55249397775248,638.8443203434882,1698.638978488925,2459.0917284128172,3284.6024590078437
