file_id,talker_id,f1,f2
m01ae,m01,660.1286010862758,1972.39573052865
m02ae,m02,640.9053469994925,1802.3780840629208
m03ae,m03,609.9361775648982,1780.819994007253
m04ae,m04,630.5511058699653,1925.831367974869
m06ae,m06,654.6014321459369,1846.1400903849365
m07ae,m07,593.915817042922,1974.129826756917
m08ae,m08,608.1911238766269,1850.155659545141
m09ae,m09,562.3932401818488,1863.308987989976
m10ae,m10,547.1996307037365,1991.5510813597327
m11ae,m11,664.1913740251373,1870.7832651030276
m13ae,m13,689.1716229976083,1791.5421098940933
m14ae,m14,562.7638649644716,1979.509238555876
m16ae,m16,547.5952355179978,1785.5197539418932
m17ae,m17,685.4404981161102,1538.3668268615354
m18ae,m18,528.7413635369829,1913.6045824976384
m19ae,m19,601.6889278457493,1916.741250709088
m20ae,m20,549.3506192238215,1820.3124853159504
m21ae,m21,556.4472532890742,1829.396649904828
m22ae,m22,631.3551310761779,2003.650257204547
m23ae,m23,589.1552391784998,2004.5142297604905
m24ae,m24,601.2951867283919,1565.0425199094473
m25ae,m25,546.6574709916001,1802.0556281845809
m26ae,m26,561.8549604785741,1886.4266875274188
m27ae,m27,599.5543257863858,1975.9320619494997
m28ae,m28,662.2089884325412,1928.9737439609364
m29ae,m29,579.6862687280118,2012.7472144714984
m30ae,m30,569.4214971298152,1827.9045387590245
m31ae,m31,605.2777237903264,1949.3957791771063
m32ae,m32,628.0862562717465,1932.560451825844
m33ae,m33,559.7308771338845,1952.204892182935
m34ae,m34,543.1672576034593,1814.6689554809325
m35ae,m35,638.8443203434882,1698.638978488925
m36ae,m36,585.3709193739201,1829.906896852646
m37ae,m37,608.3575219448122,1742.2763664728902
m38ae,m38,565.9000849286864,2079.183858338437
m39ae,m39,600.5795166692521,2022.419477679293
m40ae,m40,608.9823716924371,1915.2899173346057
m41ae,m41,574.782145972445,1767.0237056578017
m42ae,m42,612.6047888478588,1869.387006847204
m44ae,m44,590.7429915010134,1888.694081720388
m45ae,m45,642.0083487540412,2359.4973737146656
m47ae,m47,524.8197708945496,1768.035760063402
m48ae,m48,594.2459222328301,1839.5038925009192
m49ae,m49,615.8770296196724,1951.145915003813
m50ae,m50,573.2901024391256,2026.285932321293
w01ae,w01,685.3063169809583,2136.9730341708946
w02ae,w02,649.602685861118,2453.833596353977
w03ae,w03,704.7223039270285,2395.725887610499
w04ae,w04,768.1801571126732,2094.90360716188
w05ae,w05,616.8233095346294,1205.328337195701
w06ae,w06,647.8682999608301,2241.761021879872
w07ae,w07,716.2687339577716,2247.006190799603
w08ae,w08,648.624229290801,2503.0789116455267
w09ae,w09,690.0450879032401,1317.2672750074048
w10ae,w10,621.3262172193732,2236.407628259943
w11ae,w11,857.4004992319177,1775.564602651439
w12ae,w12,686.2537092745239,2452.830962241236
w13ae,w13,657.7706943941222,2260.6405818989256
w14ae,w14,736.7816323407101,2372.161474190344
w15ae,w15,633.8182015292625,2256.5367347040783
w16ae,w16,704.1533816450956,2450.185908265864
w17ae,w17,669.1184384739972,2152.872668505209
w19ae,w19,718.4323779011637,1956.4635357241536
w20ae,w20,635.904626567312,2327.0054136462427
w21ae,w21,632.6457660483168,2089.830402854692
w22ae,w22,601.3618610951493,2407.325524966791
w23ae,w23,686.5642905051599,2289.826151465843
