file_id,talker_id,f0,f1,f2
m01ae,m01,166.38238068148115,660.1286010862758,1972.39573052865
m02ae,m02,100.72959633535002,640.9053469994925,1802.3780840629208
m03ae,m03,95.40931466595283,609.9361775648982,1780.819994007253
m04ae,m04,125.55504627391178,630.5511058699653,1925.831367974869
m06ae,m06,117.96073266399408,654.6014321459369,1846.1400903849365
m07ae,m07,95.47874085302855,593.915817042922,1974.129826756917
m08ae,m08,125.26173820058828,608.1911238766269,1850.155659545141
m09ae,m09,157.3531269215842,562.3932401818488,1863.308987989976
m10ae,m10,154.13347078041554,547.1996307037365,1991.5510813597327
m11ae,m11,136.12536647416258,664.1913740251373,1870.7832651030276
m13ae,m13,100.91215598798036,689.1716229976083,1791.5421098940933
m14ae,m14,106.95085649620864,562.7638649644716,1979.509238555876
m16ae,m16,138.39797870496017,547.5952355179978,1785.5197539418932
m17ae,m17,137.28398746368697,685.4404981161102,1538.3668268615354
m18ae,m18,133.7683975849208,528.7413635369829,1913.6045824976384
m19ae,m19,150.3323954146633,601.6889278457493,1916.741250709088
m20ae,m20,138.0270231684241,549.3506192238215,1820.3124853159504
m21ae,m21,108.2705974686182,556.4472532890742,1829.396649904828
m22ae,m22,119.26577904607008,631.3551310761779,2003.650257204547
m23ae,m23,111.7457603611487,589.1552391784998,2004.5142297604905
m24ae,m24,119.19597766815002,601.2951867283919,1565.0425199094473
m25ae,m25,113.41604612394306,546.6574709916001,1802.0556281845809
m26ae,m26,118.37614523805316,561.8549604785741,1886.4266875274188
m27ae,m27,104.62651957015906,599.5543257863858,1975.9320619494997
m28ae,m28,130.5942411716872,662.2089884325412,1928.9737439609364
m29ae,m29,115.15743558962772,579.6862687280118,2012.7472144714984
m30ae,m30,96.23449117668264,569.4214971298152,1827.9045387590245
m31ae,m31,143.72839534950182,605.2777237903264,1949.3957791771063
m32ae,m32,147.71181458640467,628.0862562717465,1932.560451825844
m33ae,m33,136.18455641980893,559.7308771338845,1952.204892182935
m34ae,m34,128.61648483945532,543.1672576034593,1814.6689554809325
m35ae,m35,112.55249397775248,638.8443203434882,1698.638978488925
m36ae,m36,121.23066591634458,585.3709193739201,1829.906896852646
