file_id,talker_id,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12
m01ae,m01,-222.71681,163.40218,-94.953255,41.8158,-20.55194,-41.742794,-60.25476,6.1575756,-11.537424,-5.1637297,3.4322593,-25.425087,12.261275
m02ae,m02,-222.5899,183.56212,-83.6982,49.213333,-13.779591,-36.48909,-41.444057,-6.852746,-1.8389078,23.40093,-5.17761,0.7938496,7.074496
m03ae,m03,-224.82143,186.76222,-66.97842,48.145657,-27.604216,-11.631143,-57.38294,-6.4624577,8.024565,-3.9794781,11.770772,-8.355895,2.038847
m04ae,m04,-249.9628,196.26328,-68.814896,41.259037,-31.070305,-25.01991,-41.282223,-13.665401,4.9997897,2.3214648,-5.145462,-3.1820295,7.906868
m06ae,m06,-251.32115,173.96033,-100.82888,39.52048,-30.191566,-23.411873,-52.478786,-14.981428,6.0201616,-10.114136,9.966738,-10.761333,13.1868305
m07ae,m07,-215.21834,180.18945,-64.83798,69.14511,-23.66917,-21.794827,-54.89287,-16.16985,11.126433,-3.7767622,1.8092798,-3.5974073,14.052217
m08ae,m08,-267.24512,175.58946,-74.45158,47.707333,-13.971251,-29.321602,-39.068073,-19.96306,-3.2134106,9.622655,-6.777413,-5.623883,9.836208
m09ae,m09,-235.20815,175.19106,-53.10719,46.54202,-24.131155,-12.130979,-73.05926,-0.22086902,-15.02782,-17.943586,16.10372,-29.360254,15.725712
m10ae,m10,-226.94656,171.09583,-93.83609,61.264294,3.8924835,-53.787262,-40.07883,-20.691708,-15.862956,-7.0044723,-18.73345,-3.381401,3.5554917
m11ae,m11,-242.08334,196.91241,-72.93668,42.655712,-27.801355,-12.417985,-51.335983,0.016708635,6.27125,-12.953612,15.357407,-19.79696,6.14041
m13ae,m13,-222.29337,204.43382,-90.280426,34.436943,-6.9941597,-41.931847,-31.343359,0.6574501,-8.474536,11.872359,7.565032,-10.389707,1.4298072
m14ae,m14,-203.8304,154.54465,-69.912704,61.36637,-29.23997,-12.397756,-60.364887,-4.0257826,0.3543288,-18.603128,7.4319715,-12.16205,17.210987
m16ae,m16,-230.12321,175.8629,-91.31293,46.117836,17.96561,-45.59517,-41.285522,2.4823852,-28.799425,8.103562,-5.4831295,-21.258009,15.953719
m17ae,m17,-218.04652,165.84535,-66.853455,25.586514,-64.142586,23.20492,-54.95011,-18.538584,19.20075,-6.7150598,5.3982034,-8.655117,-8.584913
m18ae,m18,-288.4325,167.50534,-37.66061,55.45553,-6.6441836,-32.857204,-49.822426,-5.003969,-35.142868,-6.145624,-9.41738,-21.77106,27.164942
m19ae,m19,-220.11649,163.2418,-52.298264,37.09934,-22.543638,-16.4202,-65.62092,-7.2960258,-1.1571574,-12.152645,10.891481,-13.713087,16.544352
m20ae,m20,-247.76059,183.17726,-51.598427,31.707144,-3.6677215,-28.904812,-64.65944,-8.10417,-9.71486,-8.421682,3.5773168,-12.592166,17.188286
