File,group,f1,f2,vowel
m01ae,men,885.5495737130157,2645.9301952510586,ae
m02ae,men,785.8886997281616,2210.1057130107943,ae
m03ae,men,752.8894019710434,2198.1980240277494,ae
m04ae,men,705.4057411953589,2154.452654030771,ae
m06ae,men,772.66144421464,2179.0989118113635,ae
m07ae,men,652.8362832289073,2169.9768582155352,ae
m08ae,men,708.1943618081966,2154.3718004394714,ae
m09ae,men,645.8049963220234,2139.666994835435,ae
m10ae,men,678.9756219970126,2471.1541425311384,ae
m11ae,men,776.2168046869067,2186.317776907853,ae
m13ae,men,850.2269283971078,2210.214835259714,ae
m14ae,men,648.805919521246,2282.1602303892205,ae
m16ae,men,730.1208513991058,2380.673019743851,ae
m17ae,men,726.4005377888393,1630.2953989733994,ae
m18ae,men,635.9580690196276,2301.6400060162637,ae
m19ae,men,719.2128852398345,2291.1257651297515,ae
m20ae,men,711.7220544402835,2358.3418247582226,ae
m21ae,men,685.0226625701376,2252.105939255431,ae
m22ae,men,714.9550478432611,2268.96051839958,ae
m23ae,men,677.8718642128039,2306.359525315452,ae
m24ae,men,721.0733994466781,1876.7995404218238,ae
m25ae,men,628.2949492523926,2071.1734670093206,ae
m26ae,men,750.0289351371183,2518.220357893212,ae
m27ae,men,713.0977168173994,2350.133393023848,ae
m28ae,men,789.1674125170364,2298.7957652737696,ae
m29ae,men,745.3007067288648,2587.7823959911807,ae
m30ae,men,648.9972341597428,2083.3512537588595,ae
m31ae,men,671.4632349483206,2162.5570290016044,ae
m32ae,men,675.7664094933241,2079.267655705736,ae
m33ae,men,641.2343726561193,2236.4692220395455,ae
m34ae,men,641.4876152022248,2143.1477032859384,ae
m35ae,men,812.7348402513697,2161.0007866778374,ae
m36ae,men,766.3845576498221,2395.767096159672,ae
m37ae,men,754.228632999455,2160.0369433934825,ae
m38ae,men,648.2614167937566,2381.7891350043506,ae
m39ae,men,732.7304115158772,2467.4305649917314,ae
m40ae,men,605.9952947517431,1905.8953623971381,ae
m41ae,men,684.8753806519684,2105.4777736458345,ae
m42ae,men,707.0748453889969,2157.6660073529993,ae
m44ae,men,821.8421144058444,2627.5526919801396,ae
m45ae,men,723.0662888845717,2657.400036862087,ae
m47ae,men,616.8750103753015,2078.155470351283,ae
m48ae,men,604.5572970795245,1871.4230247286343,ae
m49ae,men,736.266745427432,2332.5498169350776,ae
m50ae,men,693.842315842951,2452.3760620672606,ae
w01ae,women,637.0710309518144,1986.5621843280135,ae
w02ae,women,629.3465563235234,2377.317331453443,ae
w03ae,women,789.4920054057162,2683.9031840942707,ae
w04ae,women,730.7799733737627,1992.9095903967882,ae
w05ae,women,577.8647546605636,1129.1998098848035,ae
w06ae,women,716.1287565101549,2477.9566048976744,ae
w07ae,women,714.8203979755697,2242.4626169088606,ae
w08ae,women,650.2396082442642,2509.3127536917154,ae
w09ae,women,732.592394561246,1398.48830778165,ae
w10ae,women,647.7100624575393,2331.3738973762374,ae
w11ae,women,935.8742071624091,1938.073416403015,ae
w12ae,women,691.3775772184274,2471.1448624349828,ae
w13ae,women,733.8460837538233,2522.0981292417932,ae
w14ae,women,704.9096215190249,2269.545511932999,ae
w15ae,women,646.5839612400002,2301.985738320859,ae
w16ae,women,676.4805609782532,2353.8950190828027,ae
w17ae,women,694.9358660558989,2235.9396279794523,ae
w19ae,women,719.5328593777394,1959.4604105127737,ae
w20ae,women,651.3793583827228,2383.633063776058,ae
w21ae,women,651.7071072638578,2152.7960821166353,ae
w22ae,women,567.8503787044776,2273.1749375124687,ae
w23ae,women,677.3276002728547,2259.0199835083467,ae
w24ae,women,742.9711841457527,2263.4088235223276,ae
w25ae,women,669.9201311043439,1080.2652394006473,ae
w26ae,women,765.6667618219734,1978.8154022941949,ae
w27ae,women,843.1890307036966,2722.4625197156442,ae
w28ae,women,650.8779007697866,2216.6400582470674,ae
w29ae,women,717.0105927112339,1645.3738982722684,ae
w30ae,women,788.8824496489174,2523.9973837310054,ae
w31ae,women,701.6478713003747,2171.7310789655194,ae
w32ae,women,613.9894711874731,2083.285265143828,ae
w33ae,women,735.503909942979,1523.1255304751353,ae
w34ae,women,630.8405386661525,2636.60556172664,ae
w35ae,women,711.0206376222392,2429.455180971518,ae
w36ae,women,742.7339541133168,2351.8452193380417,ae
w37ae,women,834.2639522884855,1662.109410756638,ae
w38ae,women,659.6674285097369,2204.560125922147,ae
w39ae,women,604.3520746904834,2433.6153843612674,ae
w40ae,women,752.393055079889,2475.093252272719,ae
w41ae,women,625.2099026996117,2560.9192469189275,ae
w42ae,women,639.4957386907917,2293.7011450346536,ae
w44ae,women,728.6694119908788,2312.429689481549,ae
w45ae,women,735.7562023400275,2320.452863084873,ae
w46ae,women,648.6494822404717,2178.9867221230684,ae
w47ae,women,839.2166065560544,2058.405812776561,ae
w48ae,women,680.1038505150167,2461.0591480175617,ae
w49ae,women,732.8707593091367,2350.444922403205,ae
w50ae,women,812.5720750747807,2332.834573900994,ae
b01ae,children,518.6593971934806,2003.5261198210155,ae
b02ae,children,613.2291561447709,1849.5559595739394,ae
b03ae,children,481.28441134927385,2153.4674694921578,ae
b04ae,children,565.0776222530968,2135.8528594414815,ae
b05ae,children,546.2025317758786,2021.620364282612,ae
b07ae,children,686.459411930973,1963.8227435017116,ae
b08ae,children,625.5460588865323,1875.2215928056892,ae
b09ae,children,504.12034577941563,1942.8943943133604,ae
b10ae,children,539.3509342128374,2118.6339616027626,ae
b11ae,children,534.1293368585209,2094.4521188352683,ae
b12ae,children,547.7322517620311,1909.6538667078282,ae
b13ae,children,575.9165678092032,2073.923610419858,ae
b14ae,children,502.4490837418052,1876.8028727690257,ae
b15ae,children,465.66900585158373,2034.5047278559496,ae
b16ae,children,573.8233140731143,1720.8081946718546,ae
b17ae,children,586.012817530394,1931.342176455133,ae
b18ae,children,662.9539747349203,2258.32634539313,ae
b19ae,children,555.3516881627634,2108.6675297461716,ae
b21ae,children,584.146672334639,1872.0907066247541,ae
b22ae,children,520.9162651537761,1992.5234991068776,ae
b23ae,children,643.6153405530758,2159.4645861527993,ae
b24ae,children,423.6068797072956,2087.103366371988,ae
b25ae,children,470.8109724925629,1835.3925316441982,ae
b26ae,children,490.6157229108332,1987.1267962760878,ae
b27ae,children,522.1055070898817,2080.94377163395,ae
b28ae,children,494.15349489451404,1805.7216959001737,ae
b29ae,children,644.278004357133,1921.7667797407862,ae
g01ae,children,582.8637681761761,1956.6297554488228,ae
g02ae,children,584.4694694977351,2417.065396728444,ae
g04ae,children,754.589773206565,2078.4848919277765,ae
g05ae,children,547.0564032471967,2139.5293808145693,ae
g06ae,children,612.3658886132891,1910.9237597857891,ae
g07ae,children,605.3217612131374,2047.6092187802092,ae
g08ae,children,526.7160209808967,2151.7227187804097,ae
g09ae,children,620.4485222833066,1933.9105557283494,ae
g10ae,children,777.5801786519986,2203.6457814228515,ae
g11ae,children,520.5294426873385,1852.5264240020545,ae
g12ae,children,616.5012373609216,2062.248505230174,ae
g13ae,children,587.0111199067132,1973.6614796481283,ae
g14ae,children,556.7589782538089,1850.3683938982763,ae
g15ae,children,707.9196873197498,2013.747881852871,ae
g17ae,children,581.7081507441383,1999.6932318850131,ae
g18ae,children,460.19201874105937,2058.0218897688874,ae
g19ae,children,568.0959300960834,2166.1325036944963,ae
g20ae,children,614.8663587617291,2216.9085884187793,ae
g21ae,children,509.05858599444423,2241.3940667601096,ae
m01ah,men,1047.1213780483558,1713.442114757188,ah
m02ah,men,934.1280737457931,1432.3958970410397,ah
m03ah,men,915.2984413224865,1410.3031539903945,ah
m04ah,men,912.675610959021,1365.9772971321265,ah
m06ah,men,1028.3439772757026,1498.8835185287746,ah
m07ah,men,822.8843618213278,1441.1188159083504,ah
m08ah,men,865.0621782387917,1525.268581811459,ah
m09ah,men,866.5710345362975,1636.8899211256487,ah
m10ah,men,976.5339038559332,1586.364692847668,ah
m11ah,men,945.3372842750163,1647.794177936547,ah
m13ah,men,999.6306173468845,1770.8175592434986,ah
m14ah,men,845.889558146216,1537.358541430228,ah
m16ah,men,893.0678370659316,1625.5069340406185,ah
m17ah,men,700.9174092729802,1095.9851061032982,ah
m18ah,men,858.4456445853733,1534.4982373086116,ah
